City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,illizi,26.4833,8.4667,82.2,11,100,13.47,DZ,1699468635
347,san luis rio colorado,32.4631,-114.7767,73.9,18,0,21.34,MX,1699468537
348,corumba,-19.0092,-57.6533,105.51,31,0,12.66,BR,1699468478
349,hirara,24.8,125.2833,70.07,88,40,5.75,JP,1699468636
350,vinzili,56.9594,65.7708,32.56,89,71,4.34,RU,1699468636
351,melekeok village,7.4957,134.6367,81.16,89,40,3.44,PW,1699468637
352,page,36.9147,-111.4558,56.68,32,0,3.44,US,1699468637
353,sao jose da coroa grande,-8.8978,-35.1478,81.1,67,1,11.48,BR,1699468637
354,attapeu,14.8,106.8333,74.97,92,26,1.19,LA,1699468638
355,constitucion,-35.3333,-72.4167,64.31,56,0,18.01,CL,1699468638
356,anqing,30.5092,117.0506,64.69,80,100,1.3,CN,1699468595
357,yerofey pavlovich,53.9667,121.9667,12.94,89,100,4.88,RU,1699468639
358,palmer,42.1584,-72.3287,44.15,41,75,13.8,US,1699468639
359,trinidad,-14.8333,-64.9,98.58,41,40,9.22,BO,1699468639
